circuit_id,width,depth,n_rx,n_ry,n_rz,n_cx,state_hamming_weight,f_state_prob_p25,f_state_prob_p50,f_state_prob_p75,fr_state_error_p25,fr_state_error_p50,fr_state_error_p75,fr_program_error_p25,fr_program_error_p50,fr_program_error_p75,state_bitstring,true_probability
8,5,5,5,9,2,2,2,0.005,0.01,0.01,0.0,0.0,0.0,0.15500000000000003,0.15749999999999997,0.16500000000000004,01100,0.005008402867280566
8,5,5,5,9,2,2,3,0.0575,0.06,0.0675,0.0,0.0,0.0,0.15500000000000003,0.15749999999999997,0.16500000000000004,01101,0.06658604672700712
8,5,5,5,9,2,2,3,0.015,0.015,0.0175,0.0,0.0,0.0,0.15500000000000003,0.15749999999999997,0.16500000000000004,01110,0.0072530119610576165
8,5,5,5,9,2,2,4,0.0725,0.09,0.095,0.0,0.0,0.0,0.15500000000000003,0.15749999999999997,0.16500000000000004,01111,0.09642782462760478
8,5,5,5,9,2,2,1,0.0,0.005,0.005,0.03,0.035,0.0375,0.15500000000000003,0.15749999999999997,0.16500000000000004,10000,0.0009364726557995726
8,5,5,5,9,2,2,2,0.0175,0.0175,0.02,0.0,0.0,0.0025,0.15500000000000003,0.15749999999999997,0.16500000000000004,10001,0.012450278795462084
8,5,5,5,9,2,2,2,0.0,0.0,0.0025,0.0,0.0,0.0025,0.15500000000000003,0.15749999999999997,0.16500000000000004,10010,0.0013561703308834856
8,5,5,5,9,2,2,3,0.0175,0.0225,0.0275,0.0,0.0,0.0,0.15500000000000003,0.15749999999999997,0.16500000000000004,10011,0.018030103291395184
8,5,5,5,9,2,2,2,0.0075,0.01,0.01,0.0,0.0,0.0,0.15500000000000003,0.15749999999999997,0.16500000000000004,10100,0.007765899970934319
8,5,5,5,9,2,2,3,0.0875,0.095,0.105,0.0,0.0,0.0,0.15500000000000003,0.15749999999999997,0.16500000000000004,10101,0.10324660216933937
8,5,5,5,9,2,2,3,0.0125,0.02,0.025,0.0,0.0,0.0,0.15500000000000003,0.15749999999999997,0.16500000000000004,10110,0.011246332787152001
8,5,5,5,9,2,2,4,0.1125,0.1175,0.1375,0.0,0.0,0.0,0.15500000000000003,0.15749999999999997,0.16500000000000004,10111,0.14951849128690006
8,5,5,5,9,2,2,2,0.0025,0.0025,0.0025,0.0,0.0025,0.0025,0.15500000000000003,0.15749999999999997,0.16500000000000004,11000,0.0009192287551528702
8,5,5,5,9,2,2,3,0.0125,0.015,0.0225,0.0,0.0,0.0,0.15500000000000003,0.15749999999999997,0.16500000000000004,11001,0.012221023441081889
8,5,5,5,9,2,2,3,0.0,0.0025,0.0025,0.0,0.0,0.0,0.15500000000000003,0.15749999999999997,0.16500000000000004,11010,0.0013311982547625936
8,5,5,5,9,2,2,4,0.0225,0.0225,0.025,0.0,0.0,0.0,0.15500000000000003,0.15749999999999997,0.16500000000000004,11011,0.01769810287698784
8,5,5,5,9,2,2,3,0.01,0.0125,0.0125,0.0,0.0,0.0,0.15500000000000003,0.15749999999999997,0.16500000000000004,11100,0.0076229012333826245
8,5,5,5,9,2,2,4,0.08,0.09,0.09,0.0,0.0,0.0,0.15500000000000003,0.15749999999999997,0.16500000000000004,11101,0.10134545306595459
8,5,5,5,9,2,2,4,0.0225,0.025,0.0275,0.0,0.0,0.0,0.15500000000000003,0.15749999999999997,0.16500000000000004,11110,0.011039246500093447
8,5,5,5,9,2,2,5,0.1125,0.13,0.1375,0.0,0.0,0.0,0.15500000000000003,0.15749999999999997,0.16500000000000004,11111,0.14676530677838417
